,Origin_Airport,Destination_Airport,Aeroplane Category,Volume(kg)
0,AGARTALA,GUWAHATI,GCR,2.63796
1,AGARTALA,KOLKATA,GCR,9.51292
2,AHMEDABAD,BANGALORE,GCR,658.3078399999999
3,AHMEDABAD,BANGALORE,PRIME,382.6114
4,AHMEDABAD,BHUBANESHWAR,GCR,435.11224
5,AHMEDABAD,CHANDIGARH,GCR,712.79892
6,AHMEDABAD,CHENNAI,GCR,418.41952
7,AHMEDABAD,CHENNAI,PRIME,143.07524
8,AHMEDABAD,COCHIN,GCR,548.3132800000001
9,AHMEDABAD,COIMBATORE,GCR,261.10591999999997
10,AHMEDABAD,DELHI,GCR,743.2562
11,AHMEDABAD,DELHI,PRIME,696.30372
12,AHMEDABAD,GUWAHATI,GCR,450.51592
13,AHMEDABAD,HYDERABAD,GCR,612.18788
14,AHMEDABAD,HYDERABAD,PRIME,304.30716
15,AHMEDABAD,KOLKATA,GCR,527.94052
16,AHMEDABAD,KOLKATA,PRIME,319.93456000000003
17,AHMEDABAD,LUCKNOW,GCR,490.1934
18,AHMEDABAD,MUMBAI,GCR,10.39148
19,AHMEDABAD,NAGPUR,GCR,200.91219999999998
20,AHMEDABAD,PATNA,GCR,687.713
21,AHMEDABAD,PUNE,GCR,403.41711999999995
22,AHMEDABAD,RANCHI,GCR,349.6714
23,AHMEDABAD,SILIGURI,GCR,146.06356
24,AHMEDABAD,VARANASI,GCR,341.59272
25,BANGALORE,AHMEDABAD,GCR,664.24288
26,BANGALORE,AHMEDABAD,PRIME,273.34412
27,BANGALORE,BHUBANESHWAR,GCR,444.207
28,BANGALORE,CHANDIGARH,GCR,969.0408
29,BANGALORE,COCHIN,GCR,0.0639199999999999
30,BANGALORE,DELHI,GCR,2349.426
31,BANGALORE,DELHI,PRIME,1426.36716
32,BANGALORE,GUWAHATI,GCR,406.76279999999997
33,BANGALORE,INDORE,GCR,344.76104
34,BANGALORE,JAIPUR,GCR,454.58628
35,BANGALORE,KOLKATA,GCR,735.51804
36,BANGALORE,KOLKATA,PRIME,360.77924
37,BANGALORE,LUCKNOW,GCR,542.92548
38,BANGALORE,MUMBAI,GCR,1493.45432
39,BANGALORE,MUMBAI,PRIME,743.30584
40,BANGALORE,NAGPUR,GCR,316.8398
41,BANGALORE,PATNA,GCR,513.60968
42,BANGALORE,PUNE,GCR,689.52692
43,BANGALORE,PUNE,PRIME,461.4322
44,BANGALORE,RANCHI,GCR,390.38472
45,BANGALORE,SILIGURI,GCR,179.15027999999998
46,BANGALORE,SURAT,GCR,313.5514
47,BANGALORE,VARANASI,GCR,283.99836
48,BANGALORE,VIJAYAWADA,GCR,7.3506
49,BHUBANESHWAR,AHMEDABAD,GCR,37.53728
50,BHUBANESHWAR,BANGALORE,GCR,270.8102
51,BHUBANESHWAR,DELHI,GCR,440.39408
52,BHUBANESHWAR,HYDERABAD,GCR,98.75464
53,BHUBANESHWAR,KOLKATA,GCR,16.68676
54,BHUBANESHWAR,MUMBAI,GCR,126.27076
55,BHUBANESHWAR,PATNA,GCR,25.06908
56,BHUBANESHWAR,PUNE,GCR,148.86332
57,BHUBANESHWAR,RANCHI,GCR,10.824919999999999
58,CHANDIGARH,AHMEDABAD,GCR,519.6265599999999
59,CHANDIGARH,BANGALORE,GCR,1680.38344
60,CHANDIGARH,BHUBANESHWAR,GCR,201.72452
61,CHANDIGARH,CHENNAI,GCR,547.80912
62,CHANDIGARH,HYDERABAD,GCR,694.5431199999999
63,CHANDIGARH,INDORE,GCR,168.59768
64,CHANDIGARH,KOLKATA,GCR,644.93048
65,CHANDIGARH,LUCKNOW,GCR,145.97484
66,CHANDIGARH,MUMBAI,GCR,1114.69844
67,CHANDIGARH,PATNA,GCR,424.63955999999996
68,CHANDIGARH,PUNE,GCR,578.58984
69,CHENNAI,AHMEDABAD,GCR,420.49952
70,CHENNAI,AHMEDABAD,PRIME,150.42612
71,CHENNAI,BHUBANESHWAR,GCR,228.13284
72,CHENNAI,CHANDIGARH,GCR,425.81724
73,CHENNAI,COCHIN,GCR,243.83832
74,CHENNAI,DELHI,GCR,1156.939
75,CHENNAI,DELHI,PRIME,646.7139999999999
76,CHENNAI,GUWAHATI,GCR,256.76592
77,CHENNAI,HYDERABAD,GCR,348.676
78,CHENNAI,INDORE,GCR,227.44824
79,CHENNAI,JAIPUR,GCR,211.59128
80,CHENNAI,KOLKATA,GCR,460.03311999999994
81,CHENNAI,LUCKNOW,GCR,246.34532000000002
82,CHENNAI,MUMBAI,GCR,673.47772
83,CHENNAI,MUMBAI,PRIME,442.38708
84,CHENNAI,PATNA,GCR,306.572
85,CHENNAI,PUNE,GCR,471.65484
86,CHENNAI,PUNE,PRIME,212.4724
87,CHENNAI,RANCHI,GCR,121.48351999999998
88,CHENNAI,SURAT,GCR,163.20484
89,CHENNAI,VARANASI,GCR,16.334600000000002
90,COCHIN,AHMEDABAD,GCR,273.03332
91,COCHIN,BANGALORE,GCR,2.17016
92,COCHIN,BHUBANESHWAR,GCR,21.66584
93,COCHIN,CHENNAI,GCR,303.63476
94,COCHIN,DELHI,GCR,1412.28904
95,COCHIN,HYDERABAD,GCR,663.29892
96,COCHIN,KOLKATA,GCR,859.46384
97,COCHIN,MUMBAI,GCR,692.59928
98,COCHIN,PATNA,GCR,187.74748
99,COCHIN,PUNE,GCR,238.64211999999998
100,COCHIN,VARANASI,GCR,25.05508
101,COIMBATORE,AHMEDABAD,GCR,219.3508
102,COIMBATORE,DELHI,GCR,1397.61688
103,COIMBATORE,HYDERABAD,GCR,592.6746800000001
104,COIMBATORE,MUMBAI,GCR,616.09428
105,COIMBATORE,PUNE,GCR,357.03056
106,DELHI,AGARTALA,GCR,359.28372
107,DELHI,AHMEDABAD,GCR,1127.90032
108,DELHI,AHMEDABAD,PRIME,1141.55752
109,DELHI,BANGALORE,GCR,3204.06596
110,DELHI,BANGALORE,PRIME,2910.92564
111,DELHI,BHUBANESHWAR,GCR,877.52472
112,DELHI,BHUBANESHWAR,PRIME,673.74588
113,DELHI,CHENNAI,GCR,1930.34304
114,DELHI,CHENNAI,PRIME,1518.60224
115,DELHI,COCHIN,GCR,1589.8696
116,DELHI,COCHIN,PRIME,1037.22496
117,DELHI,COIMBATORE,GCR,1647.26136
118,DELHI,DIBRUGARH,GCR,590.6782
119,DELHI,GUWAHATI,GCR,891.70852
120,DELHI,GUWAHATI,PRIME,409.72751999999997
121,DELHI,HYDERABAD,GCR,2057.74096
122,DELHI,HYDERABAD,PRIME,1554.84092
123,DELHI,INDORE,GCR,298.89424
124,DELHI,INDORE,PRIME,275.93644
125,DELHI,KOLKATA,GCR,1738.4336
126,DELHI,KOLKATA,PRIME,1637.7856
127,DELHI,MUMBAI,GCR,2875.618
128,DELHI,MUMBAI,PRIME,3219.73272
129,DELHI,NAGPUR,GCR,1204.00488
130,DELHI,PATNA,GCR,1775.42072
131,DELHI,PUNE,GCR,1915.33208
132,DELHI,PUNE,PRIME,1623.62292
133,DELHI,RANCHI,GCR,1365.1158
134,DELHI,SILIGURI,GCR,479.64256
135,DELHI,SILIGURI,PRIME,372.54536
136,DELHI,SURAT,GCR,849.78836
137,DELHI,VARANASI,GCR,408.45852
138,DELHI,VIJAYAWADA,GCR,776.06576
139,GUWAHATI,AGARTALA,GCR,354.352
140,GUWAHATI,AHMEDABAD,GCR,26.9774
141,GUWAHATI,BANGALORE,GCR,276.10672
142,GUWAHATI,DELHI,GCR,528.64296
