Branch,Refined Hub
K96-NORTH BENGAL T/S APEX,K66-SILIGURI-MATIGARA APEX
K83-KOLKATA DP PROCESSING AND DELIVERY BRANCH,K16-KOLKATA RAJARHAT APEX
L23-MANESAR BRANCH,N05-DELHI SAMALKHA APEX
L04-GURGAON BRANCH,N05-DELHI SAMALKHA APEX
M13-MUMBAI INTERNATIONAL APEX,M10-MUMBAI SAKINAKA APEX
M35-BHIWANDI BRANCH,M10-MUMBAI SAKINAKA APEX
M69-MUMBAI DP PROCESSING CENTRE APEX,M10-MUMBAI SAKINAKA APEX
M54-MAROL BRANCH,M10-MUMBAI SAKINAKA APEX
M72-WEST MUMBAI VADAPE STORAGE CENTER APEX,M10-MUMBAI SAKINAKA APEX
M75-MUMBAI VADAPE- BHIWANDI PROCESSING CENTER,M10-MUMBAI SAKINAKA APEX
U23-RUDRAPUR BRANCH,U11-GHAZIABAD APEX
U28-SELAQUI BRANCH,J10-AMBALA APEX
V58-VIJAYAWADA BRANCH,V06-VIJAYAWADA APEX
W52-MANCHESWAR BRANCH,W53-BHUBANESWAR AIR APEX
X11-AGARTALA T/S APEX,X03-AGARTALA APEX
X10-LANUNG GAON BRANCH,X01-DHARAPUR APEX
U09-AGRA BRANCH,U11-GHAZIABAD APEX
U146-GHAZIABAD BRANCH,U11-GHAZIABAD APEX
T14-RANCHI CITY BRANCH,T02-RANCHI APEX
T10-ZERO MILE BRANCH,T01-PATNA APEX
T33-RANCHI T/S APEX,T02-RANCHI APEX
T17-BIHAR T/S APEX,T01-PATNA APEX
T12-PATNA T/S APEX,T01-PATNA APEX
T35-JHARKHAND T/S APEX,T02-RANCHI APEX
Q06-JAIPUR VAISHALINAGAR BRANCH,Q05-JAIPUR APEX
P44-PUNE DIGHI BRANCH,P01-PUNE APEX
N39-NORTH DELHI SAMALKHA STORAGE CENTER APEX,N05-DELHI SAMALKHA APEX
N24-DELHI ECOMMERCE PROCESSING CENTRE APEX,N05-DELHI SAMALKHA APEX
N12-NARAINA MASS MAIL PROCESSING OUTSOURCED BRANCH,N05-DELHI SAMALKHA APEX
N20-DELHI DP PROCESSING CENTRE APEX,N05-DELHI SAMALKHA APEX
N06-DELHI SAMALKHA INTERNATIONAL APEX,N05-DELHI SAMALKHA APEX
N04-NORTH T/S APEX,N05-DELHI SAMALKHA APEX
I46-INDORE DEWASNAKA BRANCH,I01-INDORE APEX
I42-INDORE CITY BRANCH,I01-INDORE APEX
K55-KOLKATA T/S APEX,K16-KOLKATA RAJARHAT APEX
K72-KONA BRANCH,K16-KOLKATA RAJARHAT APEX
B37-BLR DP PROCESSING APEX,B10-BANGALORE YELAHANKA APEX
B112-SOUTH BANGALORE STORAGE CENTER APEX,B10-BANGALORE YELAHANKA APEX
B24-BANGALORE INTERNATIONAL BRANCH,B10-BANGALORE YELAHANKA APEX
B14-BANGALORE T/S APEX,B10-BANGALORE YELAHANKA APEX
H64-TELANGANA T/S APEX,H13-HYDERABAD SHAMSHABAD APEX
K128-EAST KOLKATA KONA STORAGE CENTER APEX,K16-KOLKATA RAJARHAT APEX
J06-AMBALA BRANCH,J10-AMBALA APEX
K65-KOLKATA HP APEX,K16-KOLKATA RAJARHAT APEX
K02-DTDC BHAWAN,K16-KOLKATA RAJARHAT APEX
K05-RAJARHAT BRANCH,K16-KOLKATA RAJARHAT APEX
I04-INDORE T/S APEX,I01-INDORE APEX
L30-GURGAON T/S APEX,N05-DELHI SAMALKHA APEX
C75-VELAPPANCHAVADI T/S APEX,C42-GUINDY APEX
O91-COCHIN T/S APEX,O06-COCHIN APEX
P75-PUNE T/S APEX,P01-PUNE APEX
Q46-JAIPUR T/S APEX,Q05-JAIPUR APEX
U147-LUCKNOW T/S APEX,U43-LUCKNOW APEX
B119-BANGALORE AIRPORT,B10-BANGALORE YELAHANKA APEX
A54-SURAT AIRPORT,A04-SURAT APEX
